REPORTER_DEA_NO	REPORTER_BUS_ACT	REPORTER_NAME	REPORTER_ADDL_CO_INFO	REPORTER_ADDRESS1	REPORTER_ADDRESS2	REPORTER_CITY	REPORTER_STATE	REPORTER_ZIP	REPORTER_COUNTY	BUYER_DEA_NO	BUYER_BUS_ACT	BUYER_NAME	BUYER_ADDL_CO_INFO	BUYER_ADDRESS1	BUYER_ADDRESS2	BUYER_CITY	BUYER_STATE	BUYER_ZIP	BUYER_COUNTY	TRANSACTION_CODE	DRUG_CODE	NDC_NO	DRUG_NAME	QUANTITY	UNIT	ACTION_INDICATOR	ORDER_FORM_NO	CORRECTION_NO	STRENGTH	TRANSACTION_DATE	CALC_BASE_WT_IN_GM	DOSAGE_UNIT	TRANSACTION_ID	Product_Name	Ingredient_Name	Measure	MME_Conversion_Factor	Combined_Labeler_Name	Revised_Company_Name	Reporter_family	dos_str
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	AD4741270	RETAIL PHARMACY	DOGANIEROS PHARMAY SOUTH	null	1552 MT EPHRAIM AVE	null	CAMDEN	NJ	8104	CAMDEN	S	9193	00603388132	HYDROCODONE	1.0	null	null	null	null	0000	04262006	3.0269999999999997	1000.0	6707	HYDROCODONE.BIT. & ACETA  5MG & 500M	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	5.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	AG1544611	RETAIL PHARMACY	GARDEN STATE PRESCRIPTION	null	T/A PECKMANS DRUGS & LIQUORS	227 OCEAN AVE	JERSEY CITY	NJ	7305	HUDSON	S	9193	00591038705	HYDROCODONE	1.0	null	null	null	null	0000	05192006	2.27025	500.0	5590	HYDROCODONE BITARTRATE 7.5MG/ACETAMI	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Bellco Drug Corp	7.5
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	AG1544611	RETAIL PHARMACY	GARDEN STATE PRESCRIPTION	null	T/A PECKMANS DRUGS & LIQUORS	227 OCEAN AVE	JERSEY CITY	NJ	7305	HUDSON	S	9193	00603388628	HYDROCODONE	1.0	null	null	null	null	0000	08032006	3.0269999999999997	500.0	883	HYDROCODONE BITARTRATE AND ACETA 10M	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	10.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	AH6285248	RETAIL PHARMACY	HUDACKO'S PHARMACY INC	HUDACKO'S PHARMACY	861 BROADWAY	null	BAYONNE	NJ	7002	HUDSON	S	9193	00591038705	HYDROCODONE	1.0	null	null	null	null	0000	11252006	2.27025	500.0	7644	HYDROCODONE BITARTRATE 7.5MG/ACETAMI	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Bellco Drug Corp	7.5
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	AP1544205	RETAIL PHARMACY	PLAINS PHAR OF WAYNE	null	578 VALLEY RD	null	WAYNE	NJ	7470	PASSAIC	S	9143	60951071270	OXYCODONE	1.0	null	null	063501238	null	0000	10182006	0.8965	100.0	5859	ENDOCET - 10MG OXYCODONE.HCL/325MG A	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	10.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	AW1533795	RETAIL PHARMACY	WAINGER'S DRUG STORE INC	null	605 S BROAD ST	null	ELIZABETH	NJ	7202	UNION	S	9143	60951079770	OXYCODONE	6.0	null	null	07X000005	null	0000	02172007	5.379	600.0	5722	ENDOCET TABS - 10MG OXYCODONE.HCL &	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	10.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	AW1533795	RETAIL PHARMACY	WAINGER'S DRUG STORE INC	null	605 S BROAD ST	null	ELIZABETH	NJ	7202	UNION	S	9143	00591350401	OXYCODONE	3.0	null	I	07X000012	null	0000	03052007	21.516	300.0	1479	OXYCODONE HCL 80MG TABS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	Bellco Drug Corp	80.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	AW1533795	RETAIL PHARMACY	WAINGER'S DRUG STORE INC	null	605 S BROAD ST	null	ELIZABETH	NJ	7202	UNION	S	9193	00591085305	HYDROCODONE	1.0	null	null	null	null	0000	04122007	3.0269999999999997	500.0	4080	HYDROCODONE BIT. 10MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Bellco Drug Corp	10.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	AW9049102	RETAIL PHARMACY	WALTER J LEWIT DRUG INC	null	124 SPRUCE ST	null	NEWARK	NJ	7108	ESSEX	S	9143	60951071270	OXYCODONE	5.0	null	I	060677867	null	0000	02272006	4.4825	500.0	7209	ENDOCET - 10MG OXYCODONE.HCL/325MG A	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	10.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	AW9049102	RETAIL PHARMACY	WALTER J LEWIT DRUG INC	null	124 SPRUCE ST	null	NEWARK	NJ	7108	ESSEX	S	9143	00591350301	OXYCODONE	2.0	null	null	060677877	null	0000	08232006	7.172000000000001	200.0	6098	OXYCODONE HCL 40MG TABS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	Bellco Drug Corp	40.0
